sex,age,parch,fare,class,deck,embark_town,alive,alone
male,22.0,0,7.25,Third,,Southampton,no,False
female,38.0,0,71.2833,First,C,Cherbourg,yes,False
female,26.0,0,7.925,Third,,Southampton,yes,True
female,35.0,0,53.1,First,C,Southampton,yes,False
male,35.0,0,8.05,Third,,Southampton,no,True
male,,0,8.4583,Third,,Queenstown,no,True
male,54.0,0,51.8625,First,E,Southampton,no,True
male,2.0,1,21.075,Third,,Southampton,no,False
female,27.0,2,11.1333,Third,,Southampton,yes,False
female,14.0,0,30.0708,Second,,Cherbourg,yes,False
female,4.0,1,16.7,Third,G,Southampton,yes,False
female,58.0,0,26.55,First,C,Southampton,yes,True
male,20.0,0,8.05,Third,,Southampton,no,True
male,39.0,5,31.275,Third,,Southampton,no,False
female,14.0,0,7.8542,Third,,Southampton,no,True
female,55.0,0,16.0,Second,,Southampton,yes,True
male,2.0,1,29.125,Third,,Queenstown,no,False
male,,0,13.0,Second,,Southampton,yes,True
female,31.0,0,18.0,Third,,Southampton,no,False
female,,0,7.225,Third,,Cherbourg,yes,True
male,35.0,0,26.0,Second,,Southampton,no,True
male,34.0,0,13.0,Second,D,Southampton,yes,True
female,15.0,0,8.0292,Third,,Queenstown,yes,True
male,28.0,0,35.5,First,A,Southampton,yes,True
female,8.0,1,21.075,Third,,Southampton,no,False
female,38.0,5,31.3875,Third,,Southampton,yes,False
male,,0,7.225,Third,,Cherbourg,no,True
male,19.0,2,263.0,First,C,Southampton,no,False
female,,0,7.8792,Third,,Queenstown,yes,True
male,,0,7.8958,Third,,Southampton,no,True
male,40.0,0,27.7208,First,,Cherbourg,no,True
female,,0,146.5208,First,B,Cherbourg,yes,False
female,,0,7.75,Third,,Queenstown,yes,True
male,66.0,0,10.5,Second,,Southampton,no,True
male,28.0,0,82.1708,First,,Cherbourg,no,False
male,42.0,0,52.0,First,,Southampton,no,False
male,,0,7.2292,Third,,Cherbourg,yes,True
male,21.0,0,8.05,Third,,Southampton,no,True
female,18.0,0,18.0,Third,,Southampton,no,False
female,14.0,0,11.2417,Third,,Cherbourg,yes,False
female,40.0,0,9.475,Third,,Southampton,no,False
female,27.0,0,21.0,Second,,Southampton,no,False
male,,0,7.8958,Third,,Cherbourg,no,True
female,3.0,2,41.5792,Second,,Cherbourg,yes,False
female,19.0,0,7.8792,Third,,Queenstown,yes,True
male,,0,8.05,Third,,Southampton,no,True
male,,0,15.5,Third,,Queenstown,no,False
female,,0,7.75,Third,,Queenstown,yes,True
male,,0,21.6792,Third,,Cherbourg,no,False
female,18.0,0,17.8,Third,,Southampton,no,False
male,7.0,1,39.6875,Third,,Southampton,no,False
male,21.0,0,7.8,Third,,Southampton,no,True
female,49.0,0,76.7292,First,D,Cherbourg,yes,False
female,29.0,0,26.0,Second,,Southampton,yes,False
male,65.0,1,61.9792,First,B,Cherbourg,no,False
male,,0,35.5,First,C,Southampton,yes,True
female,21.0,0,10.5,Second,,Southampton,yes,True
male,28.5,0,7.2292,Third,,Cherbourg,no,True
female,5.0,2,27.75,Second,,Southampton,yes,False
male,11.0,2,46.9,Third,,Southampton,no,False
male,22.0,0,7.2292,Third,,Cherbourg,no,True
female,38.0,0,80.0,First,B,,yes,True
male,45.0,0,83.475,First,C,Southampton,no,False
male,4.0,2,27.9,Third,,Southampton,no,False
male,,0,27.7208,First,,Cherbourg,no,True
male,,1,15.2458,Third,,Cherbourg,yes,False
female,29.0,0,10.5,Second,F,Southampton,yes,True
male,19.0,0,8.1583,Third,,Southampton,no,True
female,17.0,2,7.925,Third,,Southampton,yes,False
male,26.0,0,8.6625,Third,,Southampton,no,False
male,32.0,0,10.5,Second,,Southampton,no,True
female,16.0,2,46.9,Third,,Southampton,no,False
male,21.0,0,73.5,Second,,Southampton,no,True
male,26.0,0,14.4542,Third,,Cherbourg,no,False
male,32.0,0,56.4958,Third,,Southampton,yes,True
male,25.0,0,7.65,Third,F,Southampton,no,True
male,,0,7.8958,Third,,Southampton,no,True
male,,0,8.05,Third,,Southampton,no,True
male,0.83,2,29.0,Second,,Southampton,yes,False
female,30.0,0,12.475,Third,,Southampton,yes,True
male,22.0,0,9.0,Third,,Southampton,no,True
male,29.0,0,9.5,Third,,Southampton,yes,True
female,,0,7.7875,Third,,Queenstown,yes,True
male,28.0,0,47.1,First,,Southampton,no,True
female,17.0,0,10.5,Second,,Southampton,yes,True
female,33.0,0,15.85,Third,,Southampton,yes,False
male,16.0,3,34.375,Third,,Southampton,no,False
male,,0,8.05,Third,,Southampton,no,True
female,23.0,2,263.0,First,C,Southampton,yes,False
male,24.0,0,8.05,Third,,Southampton,no,True
male,29.0,0,8.05,Third,,Southampton,no,True
male,20.0,0,7.8542,Third,,Southampton,no,True
male,46.0,0,61.175,First,E,Southampton,no,False
male,26.0,2,20.575,Third,,Southampton,no,False
male,59.0,0,7.25,Third,,Southampton,no,True
male,,0,8.05,Third,,Southampton,no,True
male,71.0,0,34.6542,First,A,Cherbourg,no,True
male,23.0,1,63.3583,First,D,Cherbourg,yes,False
female,34.0,1,23.0,Second,,Southampton,yes,False
male,34.0,0,26.0,Second,,Southampton,no,False
female,28.0,0,7.8958,Third,,Southampton,no,True
male,,0,7.8958,Third,,Southampton,no,True
male,21.0,1,77.2875,First,D,Southampton,no,False
male,33.0,0,8.6542,Third,,Southampton,no,True
male,37.0,0,7.925,Third,,Southampton,no,False
male,28.0,0,7.8958,Third,,Southampton,no,True
female,21.0,0,7.65,Third,,Southampton,yes,True
male,,0,7.775,Third,,Southampton,yes,True
male,38.0,0,7.8958,Third,,Southampton,no,True
female,,0,24.15,Third,,Queenstown,yes,False
male,47.0,0,52.0,First,C,Southampton,no,True
female,14.5,0,14.4542,Third,,Cherbourg,no,False
male,22.0,0,8.05,Third,,Southampton,no,True
female,20.0,0,9.825,Third,,Southampton,no,False
female,17.0,0,14.4583,Third,,Cherbourg,no,True
male,21.0,0,7.925,Third,,Southampton,no,True
male,70.5,0,7.75,Third,,Queenstown,no,True
male,29.0,0,21.0,Second,,Southampton,no,False
male,24.0,1,247.5208,First,B,Cherbourg,no,False
female,2.0,2,31.275,Third,,Southampton,no,False
male,21.0,0,73.5,Second,,Southampton,no,False
male,,0,8.05,Third,,Southampton,no,True
male,32.5,0,30.0708,Second,,Cherbourg,no,False
female,32.5,0,13.0,Second,E,Southampton,yes,True
male,54.0,1,77.2875,First,D,Southampton,no,False
male,12.0,0,11.2417,Third,,Cherbourg,yes,False
male,,0,7.75,Third,,Queenstown,no,True
male,24.0,0,7.1417,Third,,Southampton,yes,True
female,,1,22.3583,Third,F,Cherbourg,yes,False
male,45.0,0,6.975,Third,,Southampton,no,True
male,33.0,0,7.8958,Third,,Cherbourg,no,True
male,20.0,0,7.05,Third,,Southampton,no,True
female,47.0,0,14.5,Third,,Southampton,no,False
female,29.0,0,26.0,Second,,Southampton,yes,False
male,25.0,0,13.0,Second,,Southampton,no,True
male,23.0,0,15.0458,Second,,Cherbourg,no,True
female,19.0,2,26.2833,First,D,Southampton,yes,False
male,37.0,0,53.1,First,C,Southampton,no,False
male,16.0,0,9.2167,Third,,Southampton,no,True
male,24.0,0,79.2,First,B,Cherbourg,no,True
female,,2,15.2458,Third,,Cherbourg,no,False
female,22.0,0,7.75,Third,,Southampton,yes,True
female,24.0,0,15.85,Third,,Southampton,yes,False
male,19.0,0,6.75,Third,,Queenstown,no,True
male,18.0,0,11.5,Second,,Southampton,no,True
male,19.0,1,36.75,Second,,Southampton,no,False
male,27.0,0,7.7958,Third,,Southampton,yes,True
female,9.0,2,34.375,Third,,Southampton,no,False
male,36.5,2,26.0,Second,F,Southampton,no,False
male,42.0,0,13.0,Second,,Southampton,no,True
male,51.0,0,12.525,Second,,Southampton,no,True
female,22.0,0,66.6,First,C,Southampton,yes,False
male,55.5,0,8.05,Third,,Southampton,no,True
male,40.5,2,14.5,Third,,Southampton,no,False
male,,0,7.3125,Third,,Southampton,no,True
male,51.0,1,61.3792,First,,Cherbourg,no,False
female,16.0,0,7.7333,Third,,Queenstown,yes,True
male,30.0,0,8.05,Third,,Southampton,no,True
male,,0,8.6625,Third,,Southampton,no,True
male,,2,69.55,Third,,Southampton,no,False
male,44.0,1,16.1,Third,,Southampton,no,False
female,40.0,0,15.75,Second,,Southampton,yes,True
male,26.0,0,7.775,Third,,Southampton,no,True
male,17.0,0,8.6625,Third,,Southampton,no,True
male,1.0,1,39.6875,Third,,Southampton,no,False
male,9.0,2,20.525,Third,,Southampton,yes,False
female,,1,55.0,First,E,Southampton,yes,False
female,45.0,4,27.9,Third,,Southampton,no,False
male,,0,25.925,First,,Southampton,no,True
male,28.0,0,56.4958,Third,,Southampton,no,True
male,61.0,0,33.5,First,B,Southampton,no,True
male,4.0,1,29.125,Third,,Queenstown,no,False
female,1.0,1,11.1333,Third,,Southampton,yes,False
male,21.0,0,7.925,Third,,Southampton,no,True
male,56.0,0,30.6958,First,A,Cherbourg,no,True
male,18.0,1,7.8542,Third,,Southampton,no,False
male,,1,25.4667,Third,,Southampton,no,False
female,50.0,0,28.7125,First,C,Cherbourg,no,True
male,30.0,0,13.0,Second,,Southampton,no,True
male,36.0,0,0.0,Third,,Southampton,no,True
female,,2,69.55,Third,,Southampton,no,False
male,,0,15.05,Second,,Cherbourg,no,True
male,9.0,2,31.3875,Third,,Southampton,no,False
male,1.0,1,39.0,Second,F,Southampton,yes,False
female,4.0,2,22.025,Third,,Southampton,yes,False
male,,0,50.0,First,A,Southampton,no,True
female,,0,15.5,Third,,Queenstown,yes,False
male,45.0,0,26.55,First,,Southampton,yes,True
male,40.0,1,15.5,Third,,Queenstown,no,False
male,36.0,0,7.8958,Third,,Southampton,no,True
female,32.0,0,13.0,Second,,Southampton,yes,True
male,19.0,0,13.0,Second,,Southampton,no,True
female,19.0,0,7.8542,Third,,Southampton,yes,False
male,3.0,1,26.0,Second,F,Southampton,yes,False
female,44.0,0,27.7208,First,B,Cherbourg,yes,True
female,58.0,0,146.5208,First,B,Cherbourg,yes,True
male,,0,7.75,Third,,Queenstown,no,True
male,42.0,1,8.4042,Third,,Southampton,no,False
female,,0,7.75,Third,,Queenstown,yes,True
female,24.0,0,13.0,Second,,Southampton,no,True
male,28.0,0,9.5,Third,,Southampton,no,True
male,,2,69.55,Third,,Southampton,no,False
male,34.0,0,6.4958,Third,,Southampton,no,True
male,45.5,0,7.225,Third,,Cherbourg,no,True
male,18.0,0,8.05,Third,,Southampton,yes,True
female,2.0,1,10.4625,Third,G,Southampton,no,False
male,32.0,0,15.85,Third,,Southampton,no,False
male,26.0,0,18.7875,Third,,Cherbourg,yes,True
female,16.0,0,7.75,Third,,Queenstown,yes,True
male,40.0,0,31.0,First,A,Cherbourg,yes,True
male,24.0,0,7.05,Third,,Southampton,no,True
female,35.0,0,21.0,Second,,Southampton,yes,True
male,22.0,0,7.25,Third,,Southampton,no,True
male,30.0,0,13.0,Second,,Southampton,no,True
male,,0,7.75,Third,,Queenstown,no,False
female,31.0,0,113.275,First,D,Cherbourg,yes,False
female,27.0,0,7.925,Third,,Southampton,yes,True
male,42.0,0,27.0,Second,,Southampton,no,False
female,32.0,0,76.2917,First,D,Cherbourg,yes,True
male,30.0,0,10.5,Second,,Southampton,no,True
male,16.0,0,8.05,Third,,Southampton,yes,True
male,27.0,0,13.0,Second,,Southampton,no,True
male,51.0,0,8.05,Third,,Southampton,no,True
male,,0,7.8958,Third,,Southampton,no,True
male,38.0,0,90.0,First,C,Southampton,yes,False
male,22.0,0,9.35,Third,,Southampton,no,True
male,19.0,0,10.5,Second,,Southampton,yes,True
male,20.5,0,7.25,Third,,Southampton,no,True
male,18.0,0,13.0,Second,,Southampton,no,True
female,,1,25.4667,Third,,Southampton,no,False
female,35.0,0,83.475,First,C,Southampton,yes,False
male,29.0,0,7.775,Third,,Southampton,no,True
male,59.0,0,13.5,Second,,Southampton,no,True
female,5.0,2,31.3875,Third,,Southampton,yes,False
male,24.0,0,10.5,Second,,Southampton,no,True
female,,0,7.55,Third,,Southampton,no,True
male,44.0,0,26.0,Second,,Southampton,no,False
female,8.0,2,26.25,Second,,Southampton,yes,False
male,19.0,0,10.5,Second,,Southampton,no,True
male,33.0,0,12.275,Second,,Southampton,no,True
female,,0,14.4542,Third,,Cherbourg,no,False
female,,0,15.5,Third,,Queenstown,yes,False
male,29.0,0,10.5,Second,,Southampton,no,True
male,22.0,0,7.125,Third,,Southampton,no,True
male,30.0,0,7.225,Third,,Cherbourg,no,True
male,44.0,0,90.0,First,C,Queenstown,no,False
female,25.0,0,7.775,Third,,Southampton,no,True
female,24.0,2,14.5,Second,,Southampton,yes,False
male,37.0,1,52.5542,First,D,Southampton,yes,False
male,54.0,0,26.0,Second,,Southampton,no,False
male,,0,7.25,Third,,Southampton,no,True
female,29.0,1,10.4625,Third,G,Southampton,no,False
male,62.0,0,26.55,First,C,Southampton,no,True
male,30.0,0,16.1,Third,,Southampton,no,False
female,41.0,2,20.2125,Third,,Southampton,no,False
female,29.0,2,15.2458,Third,,Cherbourg,yes,False
female,,0,79.2,First,,Cherbourg,yes,True
female,30.0,0,86.5,First,B,Southampton,yes,True
female,35.0,0,512.3292,First,,Cherbourg,yes,True
female,50.0,1,26.0,Second,,Southampton,yes,False
male,,0,7.75,Third,,Queenstown,no,True
male,3.0,2,31.3875,Third,,Southampton,yes,False
male,52.0,1,79.65,First,E,Southampton,no,False
male,40.0,0,0.0,First,B,Southampton,no,True
female,,0,7.75,Third,,Queenstown,no,True
male,36.0,0,10.5,Second,,Southampton,no,True
male,16.0,1,39.6875,Third,,Southampton,no,False
male,25.0,0,7.775,Third,,Southampton,yes,False
female,58.0,1,153.4625,First,C,Southampton,yes,False
female,35.0,0,135.6333,First,C,Southampton,yes,True
male,,0,31.0,First,,Southampton,no,True
male,25.0,0,0.0,Third,,Southampton,yes,True
female,41.0,1,19.5,Second,,Southampton,yes,False
male,37.0,1,29.7,First,C,Cherbourg,no,False
female,,0,7.75,Third,,Queenstown,yes,True
female,63.0,0,77.9583,First,D,Southampton,yes,False
female,45.0,0,7.75,Third,,Southampton,no,True
male,,0,0.0,Second,,Southampton,no,True
male,7.0,1,29.125,Third,,Queenstown,no,False
female,35.0,1,20.25,Third,,Southampton,yes,False
male,65.0,0,7.75,Third,,Queenstown,no,True
male,28.0,0,7.8542,Third,,Southampton,no,True
male,16.0,0,9.5,Third,,Southampton,no,True
male,19.0,0,8.05,Third,,Southampton,yes,True
male,,0,26.0,First,A,Southampton,no,True
male,33.0,0,8.6625,Third,,Cherbourg,no,True
male,30.0,0,9.5,Third,,Southampton,yes,True
male,22.0,0,7.8958,Third,,Southampton,no,True
male,42.0,0,13.0,Second,,Southampton,yes,True
female,22.0,0,7.75,Third,,Queenstown,yes,True
female,26.0,0,78.85,First,,Southampton,yes,True
female,19.0,0,91.0792,First,B,Cherbourg,yes,False
male,36.0,0,12.875,Second,D,Cherbourg,no,True
female,24.0,0,8.85,Third,,Southampton,no,True
male,24.0,0,7.8958,Third,,Southampton,no,True
male,,0,27.7208,First,,Cherbourg,no,True
male,23.5,0,7.2292,Third,,Cherbourg,no,True
female,2.0,2,151.55,First,C,Southampton,no,False
male,,0,30.5,First,C,Southampton,yes,True
female,50.0,1,247.5208,First,B,Cherbourg,yes,False
female,,0,7.75,Third,,Queenstown,yes,True
male,,0,23.25,Third,,Queenstown,yes,False
male,19.0,0,0.0,Third,,Southampton,no,True
female,,0,12.35,Second,E,Queenstown,yes,True
male,,0,8.05,Third,,Southampton,no,True
male,0.92,2,151.55,First,C,Southampton,yes,False
female,,0,110.8833,First,,Cherbourg,yes,True
female,17.0,0,108.9,First,C,Cherbourg,yes,False
male,30.0,0,24.0,Second,,Cherbourg,no,False
female,30.0,0,56.9292,First,E,Cherbourg,yes,True
female,24.0,0,83.1583,First,C,Cherbourg,yes,True
female,18.0,2,262.375,First,B,Cherbourg,yes,False
female,26.0,1,26.0,Second,,Southampton,no,False
male,28.0,0,7.8958,Third,,Southampton,no,True
male,43.0,1,26.25,Second,,Southampton,no,False
female,26.0,0,7.8542,Third,,Southampton,yes,True
female,24.0,0,26.0,Second,,Southampton,yes,False
male,54.0,0,14.0,Second,,Southampton,no,True
female,31.0,2,164.8667,First,C,Southampton,yes,False
female,40.0,1,134.5,First,E,Cherbourg,yes,False
male,22.0,0,7.25,Third,,Southampton,no,True
male,27.0,0,7.8958,Third,,Southampton,no,True
female,30.0,0,12.35,Second,,Queenstown,yes,True
female,22.0,1,29.0,Second,,Southampton,yes,False
male,,2,69.55,Third,,Southampton,no,False
female,36.0,0,135.6333,First,C,Cherbourg,yes,True
male,61.0,0,6.2375,Third,,Southampton,no,True
female,36.0,0,13.0,Second,D,Southampton,yes,True
female,31.0,1,20.525,Third,,Southampton,yes,False
female,16.0,1,57.9792,First,B,Cherbourg,yes,False
female,,0,23.25,Third,,Queenstown,yes,False
male,45.5,0,28.5,First,C,Southampton,no,True
male,38.0,1,153.4625,First,C,Southampton,no,False
male,16.0,0,18.0,Third,,Southampton,no,False
female,,0,133.65,First,,Southampton,yes,False
male,,0,7.8958,Third,,Southampton,no,True
male,29.0,0,66.6,First,C,Southampton,no,False
female,41.0,0,134.5,First,E,Cherbourg,yes,True
male,45.0,0,8.05,Third,,Southampton,yes,True
male,45.0,0,35.5,First,,Southampton,no,True
male,2.0,1,26.0,Second,F,Southampton,yes,False
female,24.0,2,263.0,First,C,Southampton,yes,False
male,28.0,0,13.0,Second,,Southampton,no,True
male,25.0,0,13.0,Second,,Southampton,no,True
male,36.0,0,13.0,Second,,Southampton,no,True
female,24.0,0,13.0,Second,F,Southampton,yes,True
female,40.0,0,13.0,Second,,Southampton,yes,True
female,,0,16.1,Third,,Southampton,yes,False
male,3.0,1,15.9,Third,,Southampton,yes,False
male,42.0,0,8.6625,Third,,Southampton,no,True
male,23.0,0,9.225,Third,,Southampton,no,True
male,,0,35.0,First,C,Southampton,no,True
male,15.0,1,7.2292,Third,,Cherbourg,no,False
male,25.0,0,17.8,Third,,Southampton,no,False
male,,0,7.225,Third,,Cherbourg,no,True
male,28.0,0,9.5,Third,,Southampton,no,True
female,22.0,1,55.0,First,E,Southampton,yes,False
female,38.0,0,13.0,Second,,Southampton,no,True
female,,0,7.8792,Third,,Queenstown,yes,True
female,,0,7.8792,Third,,Queenstown,yes,True
male,40.0,4,27.9,Third,,Southampton,no,False
male,29.0,0,27.7208,Second,,Cherbourg,no,False
female,45.0,1,14.4542,Third,,Cherbourg,no,False
male,35.0,0,7.05,Third,,Southampton,no,True
male,,0,15.5,Third,,Queenstown,no,False
male,30.0,0,7.25,Third,,Southampton,no,True
female,60.0,0,75.25,First,D,Cherbourg,yes,False
female,,0,7.2292,Third,,Cherbourg,yes,True
female,,0,7.75,Third,,Queenstown,yes,True
female,24.0,0,69.3,First,B,Cherbourg,yes,True
male,25.0,0,55.4417,First,E,Cherbourg,yes,False
male,18.0,0,6.4958,Third,,Southampton,no,False
male,19.0,0,8.05,Third,,Southampton,no,True
male,22.0,0,135.6333,First,,Cherbourg,no,True
female,3.0,1,21.075,Third,,Southampton,no,False
female,,0,82.1708,First,,Cherbourg,yes,False
female,22.0,0,7.25,Third,,Southampton,yes,True
male,27.0,2,211.5,First,C,Cherbourg,no,False
male,20.0,0,4.0125,Third,,Cherbourg,no,True
male,19.0,0,7.775,Third,,Southampton,no,True
female,42.0,0,227.525,First,,Cherbourg,yes,True
female,1.0,2,15.7417,Third,,Cherbourg,yes,False
male,32.0,0,7.925,Third,,Southampton,no,True
female,35.0,0,52.0,First,,Southampton,yes,False
male,,0,7.8958,Third,,Southampton,no,True
male,18.0,0,73.5,Second,,Southampton,no,True
male,1.0,2,46.9,Third,,Southampton,no,False
female,36.0,0,13.0,Second,,Southampton,yes,True
male,,0,7.7292,Third,,Queenstown,no,True
female,17.0,0,12.0,Second,,Cherbourg,yes,True
male,36.0,2,120.0,First,B,Southampton,yes,False
male,21.0,0,7.7958,Third,,Southampton,yes,True
male,28.0,0,7.925,Third,,Southampton,no,False
female,23.0,0,113.275,First,D,Cherbourg,yes,False
female,24.0,2,16.7,Third,G,Southampton,yes,False
male,22.0,0,7.7958,Third,,Southampton,no,True
female,31.0,0,7.8542,Third,,Southampton,no,True
male,46.0,0,26.0,Second,,Southampton,no,True
male,23.0,0,10.5,Second,,Southampton,no,True
female,28.0,0,12.65,Second,,Southampton,yes,True
male,39.0,0,7.925,Third,,Southampton,yes,True
male,26.0,0,8.05,Third,,Southampton,no,True
female,21.0,0,9.825,Third,,Southampton,no,False
male,28.0,0,15.85,Third,,Southampton,no,False
female,20.0,0,8.6625,Third,,Southampton,no,True
male,34.0,0,21.0,Second,,Southampton,no,False
male,51.0,0,7.75,Third,,Southampton,no,True
male,3.0,1,18.75,Second,,Southampton,yes,False
male,21.0,0,7.775,Third,,Southampton,no,True
female,,1,25.4667,Third,,Southampton,no,False
male,,0,7.8958,Third,,Southampton,no,True
male,,0,6.8583,Third,,Queenstown,no,True
female,33.0,0,90.0,First,C,Queenstown,yes,False
male,,0,0.0,Second,,Southampton,no,True
male,44.0,0,7.925,Third,,Southampton,yes,True
female,,0,8.05,Third,,Southampton,no,True
female,34.0,1,32.5,Second,,Southampton,yes,False
female,18.0,2,13.0,Second,,Southampton,yes,False
male,30.0,0,13.0,Second,,Southampton,no,True
female,10.0,2,24.15,Third,,Southampton,no,False
male,,0,7.8958,Third,,Cherbourg,no,True
male,21.0,0,7.7333,Third,,Queenstown,no,True
male,29.0,0,7.875,Third,,Southampton,no,True
female,28.0,1,14.4,Third,,Southampton,no,False
male,18.0,1,20.2125,Third,,Southampton,no,False
male,,0,7.25,Third,,Southampton,no,True
female,28.0,0,26.0,Second,,Southampton,yes,False
female,19.0,0,26.0,Second,,Southampton,yes,True
male,,0,7.75,Third,,Queenstown,no,True
male,32.0,0,8.05,Third,E,Southampton,yes,True
male,28.0,0,26.55,First,C,Southampton,yes,True
female,,0,16.1,Third,,Southampton,yes,False
female,42.0,0,26.0,Second,,Southampton,yes,False
male,17.0,0,7.125,Third,,Southampton,no,True
male,50.0,0,55.9,First,E,Southampton,no,False
female,14.0,2,120.0,First,B,Southampton,yes,False
female,21.0,2,34.375,Third,,Southampton,no,False
female,24.0,3,18.75,Second,,Southampton,yes,False
male,64.0,4,263.0,First,C,Southampton,no,False
male,31.0,0,10.5,Second,,Southampton,no,True
female,45.0,1,26.25,Second,,Southampton,yes,False
male,20.0,0,9.5,Third,,Southampton,no,True
male,25.0,0,7.775,Third,,Southampton,no,False
female,28.0,0,13.0,Second,,Southampton,yes,True
